Date,Average Temperature,AverageTemperatureUncertainty,Country
2013-06-01,19.142,0.27699999999999997,Armenia
1950-06-01,28.439,0.431,Aruba
1955-06-01,28.636,0.53,Aruba
1960-06-01,29.166999999999998,0.531,Aruba
1965-06-01,28.834,0.414,Aruba
1970-06-01,29.688,0.389,Aruba
1975-06-01,29.3,0.9159999999999999,Aruba
1980-06-01,29.78,0.24100000000000002,Aruba
1985-06-01,29.197,0.435,Aruba
1990-06-01,29.576999999999998,0.355,Aruba
1995-06-01,30.074,0.35700000000000004,Aruba
2000-06-01,29.142,0.32299999999999995,Aruba
2005-06-01,30.253,0.514,Aruba
2010-06-01,30.207,0.45399999999999996,Aruba
2013-06-01,29.881,0.5329999999999999,Aruba
1950-06-01,19.049000000000003,0.14800000000000002,Asia
1955-06-01,19.514000000000006,0.14800000000000002,Asia
1960-06-01,19.551,0.262,Asia
1965-06-01,19.188,0.46799999999999997,Asia
1970-06-01,18.964000000000002,0.272,Asia
1975-06-01,19.596,0.213,Asia
1980-06-01,19.495,0.21600000000000005,Asia
1985-06-01,19.35,0.27899999999999997,Asia
1990-06-01,19.879,0.242,Asia
1995-06-01,20.002,0.13,Asia
2000-06-01,20.198,0.215,Asia
2005-06-01,20.458,0.172,Asia
2010-06-01,20.728,0.154,Asia
2013-06-01,20.364,0.213,Asia
1950-06-01,14.243,0.14800000000000002,Australia
1955-06-01,15.425999999999998,0.26,Australia
1960-06-01,14.11,0.28600000000000003,Australia
1965-06-01,15.538,0.452,Australia
1970-06-01,16.086000000000002,0.27399999999999997,Australia
1975-06-01,14.918,0.239,Australia
1980-06-01,15.648,0.237,Australia
1985-06-01,14.357000000000001,0.28300000000000003,Australia
1990-06-01,14.792000000000002,0.26,Australia
1995-06-01,15.546,0.177,Australia
2000-06-01,14.402000000000001,0.21600000000000005,Australia
2005-06-01,16.160999999999998,0.149,Australia
2010-06-01,15.488,0.22,Australia
2013-06-01,16.018,0.251,Australia
1950-06-01,16.592,0.4,Austria
1955-06-01,13.665,0.24100000000000002,Austria
1960-06-01,14.87,0.275,Austria
1965-06-01,14.609000000000002,0.425,Austria
1970-06-01,15.376,0.3720000000000001,Austria
1975-06-01,13.02,0.28300000000000003,Austria
1980-06-01,13.364,0.217,Austria
1985-06-01,12.64,0.33,Austria
1990-06-01,14.199000000000002,0.331,Austria
1995-06-01,13.18,0.17,Austria
2000-06-01,16.544,0.266,Austria
2005-06-01,15.518,0.24,Austria
2010-06-01,15.673000000000002,0.273,Austria
2013-06-01,14.997,0.387,Austria
1950-06-01,19.043,0.259,Azerbaijan
1955-06-01,20.714,0.387,Azerbaijan
1960-06-01,20.334,0.475,Azerbaijan
1965-06-01,20.403,0.521,Azerbaijan
1970-06-01,20.02,0.35200000000000004,Azerbaijan
1975-06-01,22.633000000000006,0.26899999999999996,Azerbaijan
1980-06-01,21.065,0.212,Azerbaijan
1985-06-01,21.596,0.33,Azerbaijan
1990-06-01,21.342,0.265,Azerbaijan
1995-06-01,21.587,0.201,Azerbaijan
2000-06-01,21.073,0.28800000000000003,Azerbaijan
2005-06-01,20.635,0.299,Azerbaijan
2010-06-01,24.232,0.479,Azerbaijan
2013-06-01,21.862,0.391,Azerbaijan
1950-06-01,27.557,0.23800000000000002,Bahamas
1955-06-01,27.334,0.248,Bahamas
1960-06-01,27.362,0.34700000000000003,Bahamas
1965-06-01,27.113000000000003,0.377,Bahamas
1970-06-01,27.377,0.27,Bahamas
1975-06-01,27.836,0.235,Bahamas
1980-06-01,27.921,0.22699999999999998,Bahamas
1985-06-01,28.267,0.57,Bahamas
1990-06-01,27.9,0.259,Bahamas
1995-06-01,28.078000000000007,0.28800000000000003,Bahamas
2000-06-01,27.922,0.354,Bahamas
2005-06-01,28.172,0.218,Bahamas
2010-06-01,29.238000000000003,0.221,Bahamas
2013-06-01,28.051,0.397,Bahamas
1950-06-01,33.040000000000006,0.345,Bahrain
1955-06-01,33.173,0.384,Bahrain
1960-06-01,33.21700000000001,0.602,Bahrain
1965-06-01,34.242000000000004,0.342,Bahrain
1970-06-01,33.062000000000005,0.648,Bahrain
1975-06-01,33.633,0.496,Bahrain
1980-06-01,33.812000000000005,0.5,Bahrain
1985-06-01,32.856,0.799,Bahrain
1990-06-01,34.029,0.41100000000000003,Bahrain
1995-06-01,34.056999999999995,0.5870000000000001,Bahrain
2000-06-01,34.417,0.447,Bahrain
2005-06-01,34.825,0.604,Bahrain
2010-06-01,35.673,0.34,Bahrain
2013-06-01,35.02,0.7559999999999999,Bahrain
1950-06-01,25.655,0.397,Baker Island
1955-06-01,24.938000000000002,0.268,Baker Island
1960-06-01,25.557,0.321,Baker Island
1965-06-01,25.342,0.4270000000000001,Baker Island
1970-06-01,25.55,0.319,Baker Island
1975-06-01,25.375,0.284,Baker Island
1980-06-01,25.528000000000002,0.24100000000000002,Baker Island
1985-06-01,25.841,0.40399999999999997,Baker Island
1990-06-01,25.932,0.20199999999999999,Baker Island
1995-06-01,26.08,0.122,Baker Island
2000-06-01,25.198,0.278,Baker Island
2005-06-01,26.136,0.157,Baker Island
2010-06-01,25.984,0.21100000000000002,Baker Island
2013-06-01,26.552,0.364,Baker Island
1950-06-01,28.217,0.17800000000000002,Bangladesh
1955-06-01,28.3,0.201,Bangladesh
1960-06-01,28.762,0.384,Bangladesh
1965-06-01,28.314,0.452,Bangladesh
1970-06-01,28.231,0.332,Bangladesh
1975-06-01,28.676,0.426,Bangladesh
1980-06-01,28.343000000000004,0.22699999999999998,Bangladesh
1985-06-01,28.422,0.302,Bangladesh
1990-06-01,28.654,0.258,Bangladesh
1995-06-01,28.627,0.17600000000000002,Bangladesh
2000-06-01,28.384,0.191,Bangladesh
2005-06-01,29.313,0.272,Bangladesh
2010-06-01,28.769,0.20800000000000002,Bangladesh
2013-06-01,29.524,0.425,Bangladesh
1950-06-01,26.803,0.255,Barbados
1955-06-01,27.273000000000003,0.341,Barbados
1960-06-01,27.847,0.284,Barbados
1965-06-01,27.261,0.431,Barbados
1970-06-01,27.532,0.33399999999999996,Barbados
1975-06-01,27.561,0.262,Barbados
1980-06-01,27.94,0.312,Barbados
1985-06-01,27.466,0.36200000000000004,Barbados
1990-06-01,27.561,0.363,Barbados
1995-06-01,28.188,0.32,Barbados
2000-06-01,27.606,0.253,Barbados
2005-06-01,28.1,0.222,Barbados
2010-06-01,28.756,0.297,Barbados
2013-06-01,28.02,0.452,Barbados
1950-06-01,15.652000000000001,0.28300000000000003,Belarus
1955-06-01,15.088,0.301,Belarus
1960-06-01,17.515,0.265,Belarus
1965-06-01,15.711,0.49,Belarus
1970-06-01,16.553,0.273,Belarus
1975-06-01,16.884,0.21,Belarus
1980-06-01,16.514,0.19699999999999998,Belarus
1985-06-01,15.3,0.408,Belarus
1990-06-01,15.46,0.26899999999999996,Belarus
1995-06-01,18.645,0.17,Belarus
2000-06-01,16.129,0.244,Belarus
2005-06-01,15.768,0.233,Belarus
2010-06-01,18.691000000000006,0.21600000000000005,Belarus
2013-06-01,19.07,0.35700000000000004,Belarus
1950-06-01,18.351,0.36200000000000004,Belgium
1955-06-01,15.519,0.287,Belgium
